Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Mishra, Dhananjay R.; Gautam, Girish Dutt; Prakash, Divyanshu; Bajaj, Abhay; Sharma, Abhishek; Bisht, Rajat; Gupta, Siddharth; ",Optimization of Kerf Deviations in Pulsed Nd: YAG Laser Cutting of Hybrid Composite Laminate Using GRA,FME Transactions,48,1,109-116,2020,"UNIV BELGRADE, FAC MECHANICAL ENGINEERING, KRALJICE MARIJE 16, 35, BELGRADE …"
"Chauhan, Rishika; Dumka, Pankaj; Mishra, Dhananjay R; ",Modelling conventional and solar earth still by using the LM algorithm-based artificial neural network,International Journal of Ambient Energy,43,1,1389-1396,2022,Taylor & Francis
"Mishra, Dhananjay R.; ",Earth solar still augmented with the sandbag and black dust cloth covered perforated floating plate,,,,,2020,"IN Patent 201,924,054,660"
"Dubey, Manoj; Mishra, Dhananjay R; ",Experimental evaluation of double slope solar still augmented with ferrite ring magnets and a black cotton cloth,International Journal of Ambient Energy,43,1,1751-1762,2022,Taylor & Francis
"Gautam, Girish Dutt; Mishra, Dhananjay R.; ",Pulsed Nd:YAG Laser Cutting: Accuracy Improvement and Parametric Influences,Accuracy Enhancement Technologies for Micromachining Processes. Lecture Notes in Mechanical Engineering,1,,109-119,2020,"Springer, Singapore"
"Dumka, Pankaj; Mishra, Dhananjay R; ",An estimation of the distillate output from a CSS based on multivariable regression analysis,International Journal of Ambient Energy,43,1,2417-2422,2022,Taylor & Francis
"Dumka, Pankaj; Mishra, Dhananjay R; ",Comparative experimental evaluation of conventional solar still (CSS) and CSS augmented with wax filled metallic finned-cups,FME Transactions,48,2,482-495,2020,
"Chauhan, Rishika; Sharma, Shefali; Pachauri, Rahul; Dumka, Pankaj; Mishra, Dhananjay R; ",Experimental and theoretical evaluation of thermophysical properties for moist air within solar still by using different algorithms of artificial neural network,Journal of Energy Storage,30,,101408,2020,Elsevier
"Dumka, Pankaj; Jain, Ananya; Mishra, Dhananjay R; ","Energy, exergy, and economic analysis of single slope conventional solar still augmented with an ultrasonic fogger and a cotton cloth",Journal of Energy Storage,30,,101541,2020,Elsevier
"Mishra, Dhananjay R; Bajaj, Abhay; Bisht, Rajat; ",Optimization of multiple kerf quality characteristics for cutting operation on carbon–basalt–Kevlar29 hybrid composite material using pulsed Nd: YAG laser using GRA,CIRP Journal of Manufacturing Science and Technology,30,,174-183,2020,Elsevier
"Mishra, Dhananjay R; Gautam, Girish D; ",Multiple Kerf Quality Optimization in Laser Cutting of BFRP Composite using Grey Relational based Genetic Algorithm,FME Transactions,48,3,636-650,2020,"UNIV BELGRADE, FAC MECHANICAL ENGINEERING, KRALJICE MARIJE 16, 35, BELGRADE …"
"Mishra, Dhananjay R.; Tiwari, Anil Kr.; ",Effect of coal and metal chip on the solar still,Journal of Scientific and Technical Research,3,1,1-6,2013,
"Gautam, Girish Dutt; Mishra, Dhananjay R; ",Parametric investigation in pulsed Nd: YAG laser cutting of Kevlar-basalt fiber composite,Lasers in Manufacturing and Materials Processing,7,,373-398,2020,Springer US
"Dumka, Pankaj; Mishra, Dhananjay R; ",Experimental investigation and thermal analysis of a double slope long still: study of heat and mass transfer,International Journal of Ambient Energy,43,1,3266-3274,2022,Taylor & Francis
"Dumka, Pankaj; Chauhan, Rishika; Mishra, Dhananjay R; ",Experimental and theoretical evaluation of a conventional solar still augmented with jute covered plastic balls,Journal of Energy Storage,32,,101874,2020,Elsevier
"Sharma, Mayank; Tiwari, Anil Kr.; Mishra, Dhananjay .; ","Experimental Evaluation and Theoretical Analysis of the Long Stills Covered with the GI, Cu and Al Sheets",FME Transactions,48,4,931-937,2020,"Faculty of Mechanical Engineering, Belgrade"
"Dubey, Mnoj; Mishra, Dhananjay R.; ",Thermo-exergo-economic analysis of double slope solar still augmented with ferrite ring magnets and GI sheet,Desalination and Water Treatment,198,,19-30,2020,Desalination Publications
"Hidouri, Khaoula; Benhmidene, Ali; Chouachi, Bechir; Mishra, Dhananjay R; Houas, Ammar; ","International Journal of Chemical, Materials and Biomolecular Sciences","International Journal of Chemical, Materials and Biomolecular Sciences",11,8,609-614,2017,Science Press
"Dubey, Manoj; Mishra, Dhananjay R; ","Experimental analysis of double slope solar still augmented with dye, pebbles and metal chips",Environmental Science and Pollution Research,,,1-14,2021,Springer Berlin Heidelberg
"Dumka, Pankaj; Mishra, Dhananjay R; ","Energy, exergy and techno-economic analysis of novel solar stills for sea coastal area",International Journal of Ambient Energy,43,1,5207-5217,2022,Taylor & Francis
"Sahoo, Amiya Kumar; Pandey, Praneet; Mishra, Dhananjay R; ",Multi-response optimization of EDM drilling parameters of the Nitinol SMA,The Journal of Engineering and Exact Sciences,7,4,13007-01-17e,2021,
"Dumka, Pankaj; Gautam, Harshit; Sharma, Saksham; Gunawat, Chinmay; Mishra, Dhananjay R; ",ESTIMATION OF HEAT TRANSFER INTERNAL HEAT TRANSFER COEFFICIENTS OF CONVENTIONAL SOLAR STILL AUGMENTED WITH SOLAR PUMP,,,,,2022,
"Dumka, Pankaj; Gautam, Harshit; Sharma, Saksham; Gunawat, Chinmay; Mishra, Dhananjay R; ",Estimation of heat transfer internal heat transfer coefficients of conventional solar still augmented with solar pump,İSTANBUL INTERNATIONAL MODERN SCIENTIFIC RESEARCH CONGRESS -II,,,274-280,2021,
"Dumka, Pankaj; Gautam, Harshit; Sharma, Saksham; Gunawat, Chinmay; Mishra, Dhananjay R; ",Impact of Sand Filled Glass Bottles on Performance of Conventional Solar Still,Journal of Basic & Applied Sciences,18,,8-15,2022,SET Publisher
"Dumka, Pankaj; Sharma, Saksham; Gautam, Harshit; Mishra, Dhananjay R.; ",Finite Volume Modelling of an Axisymmetric Cylindrical Fin using Python,Research and Applications of Thermal Engineering,4,3,1-11,2022,HBRP Publication
"Sahoo, Amiya Kumar; Mishra, Dhananjay R.; ",Multi-objective optimization of EDM drilling process on NiTi-alloy through GRA and PSO a hybrid approach,"ISPEC 9th International Conference Agriculture, Animal Science and Rural Development",,,,2022,
"Mishra, Dhananjay R.; Dumka, Pankaj; Sharma, Saksham; Gautam, Harshit; ",Impact of wax-filled glass bottles on the performance of conventional solar still,"ISPEC 9th International Conference Agriculture, Animal Science and Rural Development",,,,2022,
"Sahoo, Amiya Kumar; Mishra, Dhananjay R.; ",MULTI-RESPONSE OPTIMIZATION OF EDM DRILLING OF NITINOL SUBMERGED IN DISTILLED WATER USING GRA AND TAGUCHI ANALYSIS,2. BASKENT INTERNATIONAL CONFERENCE ON MULTIDISCIPLINARY STUDIES,,,,2022,
"Pawar, Parth Singh; Mishra, Dhananjay R.; Dumka, Pankaj; ",Solving First Order Ordinary Differential Equations using Least Square Method: A comparative study,International Journal of Innovative Science and Research Technology,7,3,857-864,2022,IJISRT | A Digital Library
"Deo, Adarsh; Joshi, Arnav Raj; Parashar, Aman; Mishra, Dhananjay R.; Dumka, Pankaj; ",Analysing One Dimensional Tapered Pin-Fin using Finite Difference,Research and Applications of Thermal Engineering,5,1,1-6,2022,HBRP Publication
"Chauhan, Rishika; Dumka, Pankaj; Mishra, Dhananjay R.; ",Experimental Evaluation and Development of Artificial Neural Network Model for the Solar Stills Augmented with the Permanent Magnet and Sandbag,Journal of Advanced Thermal Science Research,9,,9-23,2022,Avanti Publishers
"Mishra, Dhananjay R.; Dumka, Pankaj; Sharma, Saksham; ",Solar distiller,,,,,2022,IN Patent App. 362811-001
"Mishra, Dhananjay R.; Dumka, Pankaj; Sharma, Saksham; ",Knurled Pencil,,,,,2022,IN Patent App. 362880-001
"Sahoo, Amiya; Mishra, Dhananjay R.; ",Multi objective optimization of EDM drilling process on NiTi alloy through GRA and PSO a Hybrid approach,IPINDIA,,8834/2022-CD/L,,2022,
"Mishra, Dhananjay R.; Bisht, Rajat; Sahoo, Amiya Kumar; ",Composite Laminate,,,,,2022,IN Patent App. 363695-001
"Dumka, Pankaj; Singh, Ayush; Singh, Gaurav P.; Mishra, Dhananjay R.; ",Kinematics of Fluid: A Python Approach,International Journal of Research and Analytical Reviews (IJRAR),9,2,131-135,2022,ijrar.org
"Mishra, Dhananjay R.; Dumka, Pankaj; Sharma, Saksham; ",DM Irrigation Device,,,,,2022,IN Patent App. 363786-001
"Pawar, Parth Singh; Mishra, Dhananjay R.; Dumka, Pankaj; ",Obtaining exact solutions of visco-incompressible parallel flows using python,International Journal of Engineering Applied Sciences and Technology,6,11,213-217,2022,http://www.ijeast.com
"Mishra, Dhananjay R.; Dumka, Pankaj; Sharma, Saksham; ",Solar Distiller Device,,,,,2022,IN Patent App. 364171-001
"Mishra, Dhananjay R.; Dumka, Pankaj; Gautam, Harshit; Sharma, Saksham; ",Solar Distiller,,,,,2022,IN Patent App. 364198-001
"Mishra, Dhananjay R.; Puharta, Yugank T.; ",Atmospheric water generator,,,,,2022,IN Patent App. 364878-001
"Mishra, Dhananjay R.; ",Simulation of heat transfer between structures and ground and performance of novel solar stills,,,,,2016,National Institute of Technology Raipur
"Dumka, Pankaj; Pawar, Parth Singh; Sauda, Abhay; Shukla, Gaurav; Mishra, Dhananjay R.; ",Application of He's homotopy and perturbation method to solve heat transfer equations: A python approach,Advances in Engineering Software,170,,103160,2022,
"Mishra, Dhananjay R.; Awana, Himanshu, Puharta, Yugank T.; Yadav, Sneha; Tiwari, Shivam; ",Air water distiller,,,,,2022,IN Patent 365693-001
"Dumka, Pankaj; Rathor, Rishabh; Katiyar, Kirti; Mishra, Dhananjay R.; ",Techno-economic investigation of passive solar still augmented with permanent magnets and ultrasonic fogger,Int. J. Renewable Energy Technology,13,3,285-305,2022,Inderscience Enterprises Ltd.
"Dumka, Pankaj; Rathor, Rishabh; Sharma, Saksham; Katiyar, Kirti; Gautam, Harshit; Gunawat, Chinmay; Mishra, Dhananjay R.; ",Impact of Coconut Husks on the Productivity of Conventional Solar Still: A Heat Transfer Study,"Current Advances in Geography, Environment and Earth Sciences",4,,1-14,2022,B P International
"Manoj, Dubey; Mishra, Dhananjay R; ","Correction to: Experimental analysis of double slope solar still augmented with dye, pebbles and metal chips",Environmental Science and Pollution Research International,28,17,22091-22091,2021,Springer Nature BV
"Mishra, Dhananjay R.; Srivastava, Amit Kumar; Mehto, Himanshu Kumar; Rajpoot, Vaibhav Singh; Singh, Ravindra Kumar; Arora, Navaljeet Singh; Singh, Jaivardhan; ",SMART BIN,,,,,2022,IN Patent App. 366189-001
"Dumka, Pankaj; Rana, Kritik; Tomar, Surya Pratap Singh; Pawar, Parth Singh; Mishra, Dhananjay R; ",Modelling air standard thermodynamic cycles using python,Advances in Engineering Software,172,,103186,2022,Elsevier
"Dumka, Pankaj; Chauhan, Rishika; Singh, Ayush; Singh, Gaurav; Mishra, Dhananjay; ",Implementation of Buckingham's Pi theorem using Python,Advances in Engineering Software,173,,103232,2022,Elsevier
"Dumka, Pankaj; Deo, Adarsh; Gajula, Krishna; Sharma, Vikrant; Chauhan, Rishika; Mishra, Dhananjay R; ",Load and Load Duration Curves Using Python,,,,,2022,
"Mishra, Dhananjay R; ",Girish Dutt Gautam,FME Transactions,47,3,561,2019,
"Sahoo, Amiya; Mishra, Dhananjay R.; ",Multi-Attribute Optimization of EDM Drilling Process Parameters on Nitinol Using GRA-Assisted PSO,“IArcSAS” 2nd International Architectural Sciences and Applications Symposium,,,,2022,
"Mishra, Dhananjay R.; Shukla, D. K.; Tiwari, Suryansh; ",Noval Structure of Poly Covered Naturally Ventilated Greenhouse for Agro Applications,“IArcSAS” 2nd International Architectural Sciences and Applications Symposium,,,,2022,
"Mishra, Dhananjay R.; Srivastava, Amit Kumar; Pandey, Nitesh; ",Comparative Analysis of The Modern And Conventional Building Structures For The Arid Regions,“IArcSAS” 2nd International Architectural Sciences and Applications Symposium,,,,2022,
"Gajula, Krishna; Sharma, Vikrant; Sharma, Basant; Mishra, Dhananjay R; Dumka, Pankaj; ",Modelling of Energy in Transit Using Python,,,,,2022,
"Raghuvanshi, Yashasvini; Mishra, Dhananjay R; Dumka, Pankaj; ",Modelling Logic Gates in Python,IJFMR-International Journal For Multidisciplinary Research,4,5,,2022,IJFMR
"Dumka, Pankaj; Mishra, Dhananjay R; ",Understanding the TDMA/Thomas algorithm and its Implementation in Python,,,,,,
"Pankaj, Dumka; Rishika, Dumka; Mishra, Dhananjay R.; ",Numerical Methods using Python (For scientists and Engineers),,,,,2022,
"Dumka, Pankaj; Gajula, Krishna; Sharma, Vikrant; Mishra, Dhananjay R.; ",MODELLING PIPE FLOW USING PYTHON,International Education & Research Journal,8,10,4-7,2022,IERJ
"Raghuvanshi, Yashasvini; Mishra, Dhananjay R.; Dumka, Pankaj; ",Understanding Sets with the help of Python,INTERNATIONAL JOURNAL OF NOVEL RESEARCH AND DEVELOPMENT,7,10,136-142,2022,IJNRD
"Gajula, Krishna; Sharma, Vikrant; Mishra, Dhananjay R.; Dumka, Pankaj; ",First Law of Thermodynamics for Closed System: A Python Approach,Research and Applications of Thermal Engineering,5,3,1-10,2022,HBRP Publication
"Krishna Gajula, Vikrant Sharma, Basant Sharma, Dhananjay R Mishra, Pankaj Dumka; ",Modelling of Energy in Transit Using Python,International Journal of Innovative Science and Research Technology,7,8,1152-1156,2022,IJISRT
"Sahoo, Amiya Kumar; Mishra, Dhananjay R.; ",Multi-Attribute Optimization of EDM Drilling Process Parameters on Nitinol Using GRA-Assisted PSO,2nd. International Architectural Sciences and Applications Symposium (IArcSAS-2022),,,1259 - 1276,2022,
"Joshi, Arnav Raj; Deo, Adarsh; Parashar, Aman; Mishra, Dhananjay R; Dumka, Pankaj; ",Modelling Steam Power Cycle using Python,,,,,2023,
"Dumka, Pankaj; Samaiya, Nitin; Gandhi, Sumit; Mishra, Dhananjay R; ",Modelling of Hardy Cross Method for Pipe Networks,,,,,,
"Dumka, Pankaj; Samaiya, Nitin Kumar; Gandhi, Sumit; Dash, Subas; Dubey, Sumit; Mishra, Dhananjay R; ",Comparative Study of Wind Pressure Variations on Rectangular Buildings Using Python Programming,,,,,,
"Gajula, Krishna; Raghuvanshi, Yashasvini; Mishra, Priyanshi; Mishra, Dhananjay R; Dumka, Pankaj; ",Modelling One Dimensional Steady State Heat Conduction Problem Using Monte Carlo Simulation: A Python View Point,Advancement in Mechanical Engineering and Technology,6,1,4-11,2023,
"Mishra, Priyanshi; Sharma, Ayush; Mishra, Dhananjay R; Dumka, Pankaj; ",Solving Double Integration With The Help of Monte Carlo Simulation: A Python Approach,Int. J. Sci. Res. in Multidisciplinary Studies Vol,9,3,,2023,
"Dumka, Panka; Samaiya, Nitin Kumar; Gandhi, Sumit; Dash, Subas; Dubey, Sumit; Mishra, Dhananjay R.; ",Comparative Study of Wind Pressure Variations on Rectangular Buildings Using Python Programming,The Asian Review of Civil Engineering,11,2,15-24,2023,The Research Publication
"Dumka, Pankaj; Samaiya, Nitin Kumar; Gandhi, Sumit; Mishra, Dhananjay R.; ",Modelling of Hardy Cross Method for Pipe Networks,SSRG International Journal of Mechanical Engineering,10,1,1-8,2023,SSRG
